Year;Area;Sex;Age;Record Type;Reliability;Source Year;Value;Value Footnotes
2018;Total;Both Sexes;Total;Estimate - de jure;Final figure, complete;2019;37976687;1
2018;Total;Both Sexes;0 - 4;Estimate - de jure;Final figure, complete;2019;1897382;1
2018;Total;Both Sexes;1 - 4;Estimate - de jure;Final figure, complete;2019;1502984;1
2018;Total;Both Sexes;5 - 9;Estimate - de jure;Final figure, complete;2019;2046161;1
2018;Total;Both Sexes;10 - 14;Estimate - de jure;Final figure, complete;2019;1843246;1
2018;Total;Both Sexes;15 - 19;Estimate - de jure;Final figure, complete;2019;1850599;1
2018;Total;Both Sexes;20 - 24;Estimate - de jure;Final figure, complete;2019;2194530;1
2018;Total;Both Sexes;25 - 29;Estimate - de jure;Final figure, complete;2019;2664508;1
2018;Total;Both Sexes;30 - 34;Estimate - de jure;Final figure, complete;2019;3061736;1
2018;Total;Both Sexes;35 - 39;Estimate - de jure;Final figure, complete;2019;3061457;1
2018;Total;Both Sexes;40 - 44;Estimate - de jure;Final figure, complete;2019;2849028;1
2018;Total;Both Sexes;45 - 49;Estimate - de jure;Final figure, complete;2019;2392061;1
2018;Total;Both Sexes;50 - 54;Estimate - de jure;Final figure, complete;2019;2277147;1
2018;Total;Both Sexes;55 - 59;Estimate - de jure;Final figure, complete;2019;2589297;1
2018;Total;Both Sexes;60 - 64;Estimate - de jure;Final figure, complete;2019;2752175;1
2018;Total;Both Sexes;65 - 69;Estimate - de jure;Final figure, complete;2019;2343022;1
2018;Total;Both Sexes;70 - 74;Estimate - de jure;Final figure, complete;2019;1434021;1
2018;Total;Both Sexes;75 - 79;Estimate - de jure;Final figure, complete;2019;1082638;1
2018;Total;Both Sexes;80 - 84;Estimate - de jure;Final figure, complete;2019;869716;1
2018;Total;Both Sexes;85 - 89;Estimate - de jure;Final figure, complete;2019;533203;1
2018;Total;Both Sexes;90 - 94;Estimate - de jure;Final figure, complete;2019;193051;1
2018;Total;Both Sexes;95 - 99;Estimate - de jure;Final figure, complete;2019;36425;1
2018;Total;Both Sexes;100 +;Estimate - de jure;Final figure, complete;2019;5284;1
2018;Total;Male;Total;Estimate - de jure;Final figure, complete;2019;18380299;1
2018;Total;Male;0 - 4;Estimate - de jure;Final figure, complete;2019;974287;1
2018;Total;Male;1 - 4;Estimate - de jure;Final figure, complete;2019;771889;1
2018;Total;Male;5 - 9;Estimate - de jure;Final figure, complete;2019;1050390;1
2018;Total;Male;10 - 14;Estimate - de jure;Final figure, complete;2019;945376;1
2018;Total;Male;15 - 19;Estimate - de jure;Final figure, complete;2019;948612;1
2018;Total;Male;20 - 24;Estimate - de jure;Final figure, complete;2019;1118599;1
2018;Total;Male;25 - 29;Estimate - de jure;Final figure, complete;2019;1358655;1
2018;Total;Male;30 - 34;Estimate - de jure;Final figure, complete;2019;1559745;1
2018;Total;Male;35 - 39;Estimate - de jure;Final figure, complete;2019;1554123;1
2018;Total;Male;40 - 44;Estimate - de jure;Final figure, complete;2019;1440130;1
2018;Total;Male;45 - 49;Estimate - de jure;Final figure, complete;2019;1200621;1
2018;Total;Male;50 - 54;Estimate - de jure;Final figure, complete;2019;1129057;1
2018;Total;Male;55 - 59;Estimate - de jure;Final figure, complete;2019;1252331;1
2018;Total;Male;60 - 64;Estimate - de jure;Final figure, complete;2019;1287505;1
2018;Total;Male;65 - 69;Estimate - de jure;Final figure, complete;2019;1044978;1
2018;Total;Male;70 - 74;Estimate - de jure;Final figure, complete;2019;600701;1
2018;Total;Male;75 - 79;Estimate - de jure;Final figure, complete;2019;408931;1
2018;Total;Male;80 - 84;Estimate - de jure;Final figure, complete;2019;293207;1
2018;Total;Male;85 - 89;Estimate - de jure;Final figure, complete;2019;157485;1
2018;Total;Male;90 - 94;Estimate - de jure;Final figure, complete;2019;46623;1
2018;Total;Male;95 - 99;Estimate - de jure;Final figure, complete;2019;7820;1
2018;Total;Male;100 +;Estimate - de jure;Final figure, complete;2019;1123;1
2018;Total;Female;Total;Estimate - de jure;Final figure, complete;2019;19596388;1
2018;Total;Female;0 - 4;Estimate - de jure;Final figure, complete;2019;923095;1
2018;Total;Female;1 - 4;Estimate - de jure;Final figure, complete;2019;731095;1
2018;Total;Female;5 - 9;Estimate - de jure;Final figure, complete;2019;995771;1
2018;Total;Female;10 - 14;Estimate - de jure;Final figure, complete;2019;897870;1
2018;Total;Female;15 - 19;Estimate - de jure;Final figure, complete;2019;901987;1
2018;Total;Female;20 - 24;Estimate - de jure;Final figure, complete;2019;1075931;1
2018;Total;Female;25 - 29;Estimate - de jure;Final figure, complete;2019;1305853;1
2018;Total;Female;30 - 34;Estimate - de jure;Final figure, complete;2019;1501991;1
2018;Total;Female;35 - 39;Estimate - de jure;Final figure, complete;2019;1507334;1
2018;Total;Female;40 - 44;Estimate - de jure;Final figure, complete;2019;1408898;1
2018;Total;Female;45 - 49;Estimate - de jure;Final figure, complete;2019;1191440;1
2018;Total;Female;50 - 54;Estimate - de jure;Final figure, complete;2019;1148090;1
2018;Total;Female;55 - 59;Estimate - de jure;Final figure, complete;2019;1336966;1
2018;Total;Female;60 - 64;Estimate - de jure;Final figure, complete;2019;1464670;1
2018;Total;Female;65 - 69;Estimate - de jure;Final figure, complete;2019;1298044;1
2018;Total;Female;70 - 74;Estimate - de jure;Final figure, complete;2019;833320;1
2018;Total;Female;75 - 79;Estimate - de jure;Final figure, complete;2019;673707;1
2018;Total;Female;80 - 84;Estimate - de jure;Final figure, complete;2019;576509;1
2018;Total;Female;85 - 89;Estimate - de jure;Final figure, complete;2019;375718;1
2018;Total;Female;90 - 94;Estimate - de jure;Final figure, complete;2019;146428;1
2018;Total;Female;95 - 99;Estimate - de jure;Final figure, complete;2019;28605;1
2018;Total;Female;100 +;Estimate - de jure;Final figure, complete;2019;4161;1
